S.no,Project,Year,Lender,$ Allocation,Country,Invested On
594,Beira Fishing Port Rehabilitation,2014,CHEXIM,$120M,Mozambique,Agriculture
595,Eiseb Block Small Scale Agriculture Development,2008,CIDCA,$5M,Namibia,Agriculture
596,AFC: General Corporate Purposes,2018,CHEXIM,$100M,Regional,Budget
597,5-Year Syndicated Term Loan to support foreign currency position - CCB,2002,CCB,$27M,South Africa,Budget
598,"Benguela, 2 Institute of Technology Constructions; Luanda, 4 Institute of Technology Constructions",2005,CHEXIM,$53M,Angola,Education
599,Hotel Huila Reconstruction in Lubango,2013,CHEXIM,$21M,Angola,Business
600,"Huambo, Health Care Center",2005,CHEXIM,$4M,Angola,Health
601,Computed Tomography Scanners Supply to 37 Hospitals,2017,CDB,$67M,Kenya,Health
602,"Kifangondo-Caxito-Uíge-Negage Road, 371 km",2005,CHEXIM,$191M,Angola,Transportation
603,"Nairobi-Thika Highway, 50km",2009,CHEXIM,$156M,Kenya,Transportation
604,Purchase of 9 Freight Ships,2011,CHEXIM,$235M,Ethiopia,Transportation
605,Lagos-Ibadan Railway Modernisation Project II,2017,CHEXIM,$1.3B,Nigeria,Transportation
606,TAZARA protocol 2006 - Unknown,2006,CIDCA,$7M,Zambia,Transportation
607,"Brazzaville, Maya-Maya Airport",2008,CHEXIM,$180M,Republic of Congo,Transportation
608,"Kribi-Lolabe Highway, Kribi-Edéa Section - Phase I (100km)",2014,CHEXIM,$386M,Cameroon,Transportation
609,"Maputo-Catembe Bridge, Katembe Bridge/Ponta D'Ouro Road, 3km",2012,CHEXIM,$682M,Mozambique,Transportation
610,"Agboville-Rubino-Ceshi Road Asphalting , 51km",2017,CHEXIM,$66M,Cote d'Ivoire,Transportation
611,"Oil Roads - Lots 1,2 & 3",2020,CHEXIM,$456M,Uganda,Transportation
612,Kumasi Inner City Roads 100 km,2018,Sinohydro Ltd.,$81M,Ghana,Transportation
613,Katanga: Lubumbashi - Kasomeno RN5 Grading (137km),2008,CHEXIM,$51M,Democratic Republic of Congo,Transportation
614,"Addis-Djibouti Railway (Djibouti share), 100km, Ali Sabieh to Nagad",2013,CHEXIM,$492M,Djibouti,Transportation
615,Aum Kadada - Alfashir Road (Salvation Road/Aum-Fa Road),2009,CHEXIM,$86M,Sudan,Transportation
616,Phase II Lome Road Asphalting (Economic and Technical Cooperation Agreement and Concessional Loan Framework 3),2013,CHEXIM,$94M,Togo,Transportation
617,"Rehabilitation of National Road RN5A Ambilobe-Vohemar, 150km",2019,CHEXIM,$157M,Madagascar,Transportation
618,Road Equipment for Rural District Councils Purchase,2013,CIDCA,$10M,Zimbabwe,Transportation
619,"Huye – Kibeho - Munini Road Upgrade Project, 66km",2018,CHEXIM,$76M,Rwanda,Transportation
620,"Luanda Electrical Network Rehabilitation and Expansion, Phase II",2004,CHEXIM,$40M,Angola,Power
621,Gibe III Hydropower Project 10x187(1870MW) (ICBC loan),2010,ICBC,$425M,Ethiopia,Power
622,"Merowe Hydropower Project 1,250MW",2003,CHEXIM,$608M,Sudan,Power
623,Lusiwasi Hydropower Expansion Project & Lunzua Hydropower Rehabilitation Project 86MW,2013,CHEXIM,$183M,Zambia,Power
624,"Bui Hydropower Project 400 MW (CL part, Total 749.6mn)",2007,CHEXIM,$306M,Ghana,Power
625,"Electrical Substations in Luzira, Namanve, Mukono and Iganga Industrial Parks",2016,CHEXIM,$85M,Uganda,Power
626,Gribo Popoli Hydropower Project 112MW,2019,CHEXIM,$290M,Cote d'Ivoire,Power
627,Souapiti Hydropower Project 450MW,2018,CHEXIM,$1.2B,Guinea,Power
628,"Kariba South Bank Hydropower Extension 2x150MW(300MW) (PEBC portion, total 320mn)",2013,CHEXIM,$160M,Zimbabwe,Power
629,"Olkaria IV Geothermal Drilling 140MW, 26 wells",2010,CHEXIM,$102M,Kenya,Power
630,"Warak Hydropower Project on Bini River, Adamaoua 75MW",2016,ICBC,$303M,Cameroon,Power
631,"Bata City Power Grid, Phase II",2016,CHEXIM,$290M,Equatorial Guinea,Power
632,"74km Transmission Line from Liouesso Hydropower Project to the town of Ouesso-North, 110kV",2012,CHEXIM,$37M,Republic of Congo,Power
633,Boucle de Dakar Electricity Network Supplementary Phase,2013,CN Gov,$17M,Senegal,Power
634,Sonangol Development,2014,CDB,$2.0B,Angola,Mining
635,Telecoms-Huawei-Electricity,2014,"Huawei Technologies Co., Ltd.",$34M,Ethiopia,ICT
636,Public Security Communication System Project,2010,CHEXIM,$400M,Nigeria,ICT
637,Electronic Postal Program,2011,CHEXIM,$69M,Cameroon,ICT
638,Smart Zambia National ICT Development Project Phase I,2015,CHEXIM,$66M,Zambia,ICT
639,"Bié, HBO, HLA, LDA, New Generation Network, Project 3",2006,CHEXIM,$68M,Angola,ICT
640,E-government Project Phase II - WiMax Network Upgrade (CL Part),2011,CHEXIM,$30M,Ghana,ICT
641,National Telecom Phase III,2017,CHEXIM,$161M,Republic of Congo,ICT
642,National Optic Fibre Backbone Infrastructure (NOFBI) E-Government Expansion Project,2012,CHEXIM,$74M,Kenya,ICT
643,Modernization and Expansion of the National Mobile Network (Tmcel),2020,CHEXIM,$132M,Mozambique,ICT
644,"Supercomputer Center, University of Zimbabwe",2015,CIDCA,$5M,Zimbabwe,ICT
645,National Broadband,2015,CHEXIM,$82M,Senegal,ICT
646,Government Internal Telecom Network,2011,CHEXIM,$40M,Democratic Republic of Congo,ICT
647,National Backbone Fiber Optics,2014,CHEXIM,$214M,Guinea,ICT
648,E-Government Project,2010,CHEXIM,$25M,Togo,ICT
649,"New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 4, Including Radio and TV Broadcast Equipment Procurement",2006,CIDCA,$3M,Mauritius,ICT
650,National Backbone Data Transmission Project III,2015,CHEXIM,$15M,Uganda,ICT
651,Equipment procurement and engineering services to National Telecommunications Corporation of Tunisia,2006,CHEXIM,$6M,Tunisia,ICT
652,"Luanda's Water Supply System, Package 4",2007,CHEXIM,$83M,Angola,Water
653,Yaounde Potable Water Supply from Sanaga River (PAEPYS),2015,CHEXIM,$678M,Cameroon,Water
654,Drilling of 150 wells (Tanjin Co.),2005,CHEXIM,$11M,Sudan,Water
655,"Camama - Road Infrastructure, Disbursement 3",2012,CDB,$54M,Angola,Other social
656,Mpila Memorial Hall,2014,CHEXIM,$19M,Republic of Congo,Other social
657,"Botswana Housing Corporation (BHC) 725 housing in Gaborone, Maun, Jwaneng, Lobatse and Francistown (CL part)",2003,CHEXIM,$4M,Botswana,Other social
658,Bukavu Stadium Project,2016,CHEXIM,$14M,Democratic Republic of Congo,Other social
659,"Cazenga/Sambizanga, Construction of Requalified Infrastructure",2011,CDB,$130M,Angola,Multisector
660,"Omo-Kuraz Sugar Factory 2, South Omo Zone",2013,CDB,$290M,Ethiopia,Industry
661,Purchase of 8 Hongdu K-8P Fighter Jet Trainers,2012,China National Aero-Technology Import and Export Corporation (CATIC),$67M,Zambia,Defense
662,Purchase of 2 46M Patrol Boats,2008,Poly Technologies Inc.,$40M,Ghana,Defense
663,Interbank Loan,2017,CDB,$500M,Egypt,Banking
664,BDEAC: SMEs,2016,CDB,$42M,Regional,Banking
665,TDB: Unknown,2015,PBC,$8M,Regional,Unallocated
666,Unknown,2004,CIDCA,$5M,Gabon,Unallocated
667,Unknown,2004,CN Gov,$7M,Sudan,Unallocated
668,Economic and Technical Cooperation Agreement,2015,CIDCA,$23M,Zimbabwe,Unallocated
669,Unknown,2007,CIDCA,$4M,Cameroon,Unallocated
670,Unknown,2011,CIDCA,$8M,Rwanda,Unallocated
671,Unknown,2014,CIDCA,$15M,Mali,Unallocated
672,Unknown,2012,CIDCA,$13M,Ethiopia,Unallocated
673,Economic and Trade cooperation,2007,CIDCA,$3M,Mauritius,Unallocated
674,Economic and Technical Cooperation,2011,CIDCA,$16M,Burundi,Unallocated
675,Unknown,2014,CIDCA,$17M,Mauritania,Unallocated
676,Unknown,2008,CIDCA,$12M,Democratic Republic of Congo,Unallocated
677,Unknown,2009,CIDCA,$4M,Cote d'Ivoire,Unallocated
678,Unknown,2006,CIDCA,$3M,Guinea,Unallocated
679,Economic and Technical Cooperation Agreement,2012,CIDCA,$5M,Togo,Unallocated
680,Technical Cooperation Agreement,2007,CIDCA,$3M,Equatorial Guinea,Unallocated
681,Unknown,2006,CIDCA,$3M,Namibia,Unallocated
682,30m Boats - 25 Units; 4.15m Canoes - 1000 Units,2006,CHEXIM,$88M,Angola,Agriculture
683,Irrigation Equipment,2005,CHEXIM,$10M,Sudan,Agriculture
684,3-Year Syndicated Term Loan to support foreign currency position - BoC,2002,BoC,$10M,South Africa,Budget
685,"Benguela, 1 Secondary School Construction; Luanda, 3 Secondary School Constructions",2005,CHEXIM,$16M,Angola,Education
686,Hotel Benguela Reconstruction,2013,CHEXIM,$20M,Angola,Business
687,"Malange, 3 Health Care Centers",2005,CHEXIM,$11M,Angola,Health
688,"Caxito-Nzeto Road Rehabilitation, 208km (Disbursements from 2007 Credit Line)",2007,CHEXIM,$429M,Angola,Transportation
689,Nairobi Southern Bypass,2011,CHEXIM,$184M,Kenya,Transportation
690,"Addis-Djibouti Railway (Ethiopian share, total 2.49bn) 656km, Tranche A",2013,CHEXIM,$220M,Ethiopia,Transportation
691,"Abuja-Keffi-Makurdi Road Rehabilitation and Upgrade, 227km",2017,CHEXIM,$461M,Nigeria,Transportation
692,TAZARA Equipment and Machinery,2006,CIDCA,$5M,Zambia,Transportation
693,"Gabon Border Road, Obouya-Boundji-Okoyo-Gabon Border, aka OBO Road, 125km, Phase I",2008,CHEXIM,$106M,Republic of Congo,Transportation
694,"Kribi Port Project - Phase II (EBC Part, total US$675million)",2017,CHEXIM,$525M,Cameroon,Transportation
695,"Beira to Machipanda EN6 Road Repair, 287km, Loan 1",2013,CHEXIM,$104M,Mozambique,Transportation
696,"Tiébissou-Bouaké Highway, 96km",2018,CHEXIM,$283M,Cote d'Ivoire,Transportation
697,Tamale Interchange Project,2018,Sinohydro Ltd.,$39M,Ghana,Transportation
698,Katanga: Lubumbashi - Kasomeno RN5 Asphalting (137km),2008,CHEXIM,$88M,Democratic Republic of Congo,Transportation
699,"Doraleh Multipurpose Port, Damerjog Livestock Port",2016,CHEXIM,$344M,Djibouti,Transportation
700,South Kordofan Um Rawaba- Abu Gibeha Ring Road / 141 km / Aum Roaba - Abu Gebaha Road,2009,CHEXIM,$63M,Sudan,Transportation
701,"Public Solar Street Light/Lamp Project, Phase 1 & 2",2014,CHEXIM,$55M,Togo,Transportation
702,Harare Robert Gabriel Mugabe International Airport Upgrade,2018,CHEXIM,$152M,Zimbabwe,Transportation
703,"Bugesera International Airport Access Road Project, 13.8km (SONATUBES-GAHANGA-AKAGERA ROAD)",2018,CHEXIM,$50M,Rwanda,Transportation
704,"Quifangondo-Mabubas Transmission Line, 60Kv",2005,CHEXIM,$13M,Angola,Power
705,"Addis Ababa, 400km Transmission Lines and Substations, Gibe III Hydropower Project (total 612mn)",2011,CHEXIM,$188M,Ethiopia,Power
706,El Gaili-Shendi-Atbara 220kV transmission line,2003,"Tebian Electric Apparatus Co., Ltd. (TBEA)",$25M,Sudan,Power
707,"120km Kariba North - Kafue West Transmission Line, 330kV",2014,CHEXIM,$45M,Zambia,Power
708,"Bui Hydropower Project 400 MW (CommL part, Total 749.6mn)",2007,CHEXIM,$292M,Ghana,Power
709,Bridging the Demand-Supply Gap through Accelerated Rural Electrification Programme (BDSGAREP),2019,CHEXIM,$213M,Uganda,Power
710,Hwange Coal Power Station Expansion 600MW Phase III - Units 7&8,2016,CHEXIM,$998M,Zimbabwe,Power
711,"320km, Rabai-Malindi-Garsen-Lamu Transmission Line, 2x220kv+132kV(572kV)",2010,CHEXIM,$93M,Kenya,Power
712,"Memve'ele to Ebolowa Hydropower Transmission Lines , 225kV",2017,CHEXIM,$142M,Cameroon,Power
713,Akpoga Electricity Infrastructure,2019,CDB,$12M,Equatorial Guinea,Power
714,Sonangol Recapitalization,2016,CDB,$10.0B,Angola,Mining
715,Telecoms-ZTE-Electricity,2014,Zhongxing Telecommunication Equipment Corporation (ZTE),$28M,Ethiopia,ICT
716,Nigerian Communications Satellite (NIGCOMSAT) -Replacement Project,2010,CHEXIM,$20M,Nigeria,ICT
717,National Telecom Broadband Network Project - Phase I,2012,CHEXIM,$168M,Cameroon,ICT
718,Digital Migration Phase II and III - Eximbank Portion,2015,CHEXIM,$232M,Zambia,ICT
719,"Bié, HBO, HLA, and LDA, New Generation Network, Project 4",2006,CHEXIM,$53M,Angola,ICT
720,E-government Project Phase II - WiMax Network Upgrade (CommL Part),2011,CHEXIM,$120M,Ghana,ICT
721,Digital Television Migration,2017,CHEXIM,$154M,Republic of Congo,ICT
722,NOFBI Phase II Expansion Project,2016,CHEXIM,$99M,Kenya,ICT
723,NetOne Telecom Network Expansion Phase III,2019,CHEXIM,$71M,Zimbabwe,ICT
724,Smart Senegal Broadband Project,2018,CHEXIM,$150M,Senegal,ICT
725,Fiber-Optic Cables Phase II,2012,CHEXIM,$91M,Democratic Republic of Congo,ICT
726,New Mauritius Broadcasting Corporation (MBC) Headquarters-Tranche 5,2006,CIDCA,$13M,Mauritius,ICT
727,Telecom project,2007,CHEXIM,$3M,Tunisia,ICT
728,"Expansion of the Water Supply Network in the City of Huambo, Building of 20 Fountains and 2,000 New Household Connections, Building of Sewage Sludge Treatment Station and One Year of System Management Support",2007,CHEXIM,$9M,Angola,Water
729,"Potable Water Supply Projects in 9 Towns: Dschang, Yabassi, Maroua, Garoua, Garoua-Boulai - Phase II",2018,CHEXIM,$86M,Cameroon,Water
730,Drilling of 50 wells in Northern Kordofan (Tianjin Co.),2005,CHEXIM,$4M,Sudan,Water
731,"Cazenga / Sambizanga, Social Equipments Requalification, Disbursement 4",2012,CDB,$9M,Angola,Other social
732,Housing in Mpila,2014,CHEXIM,$47M,Republic of Congo,Other social
733,Palapye BHC Houses - 150 Houses,2003,CHEXIM,$3M,Botswana,Other social
734,"Cazenga/Sambizanga, Infrastructures Requalification, Disbursement 4",2012,CDB,$54M,Angola,Multisector
735,"Omo-Kuraz Sugar Factory 3, South Omo Zone",2013,CDB,$290M,Ethiopia,Industry
736,"Security Equipment for Police, the Immigration Department, Prisons and the Drug Enforcement Commission",2015,Poly Technologies Inc.,$164M,Zambia,Defense
737,Procurement of Goods for the Ghana Armed Forces,2010,Poly Technologies Inc.,$85M,Ghana,Defense
738,Interbank Loan,2018,CDB,$600M,Egypt,Banking
739,Afreximbank: Medium to Long Term Financing for Sub- Projects in Various Sector,2018,CDB,$500M,Regional,Banking
740,TDB: Unknown,2015,PBC,$5M,Regional,Unallocated
741,Unknown,2006,CIDCA,$6M,Gabon,Unallocated
742,Unknown,2005,CN Gov,$4M,Sudan,Unallocated
743,Unknown,2007,CIDCA,$5M,Cameroon,Unallocated
744,Economic and Technical Cooperation Agreement,2012,CIDCA,$9M,Rwanda,Unallocated
745,Framework Agreement,2014,CIDCA,$24M,Ethiopia,Unallocated
746,Economic and Trade cooperation,2008,CIDCA,$4M,Mauritius,Unallocated
747,Economic and Technical Cooperation,2012,CIDCA,$8M,Burundi,Unallocated
748,Unknown,2009,CIDCA,$4M,Democratic Republic of Congo,Unallocated
749,Unknown,2011,CIDCA,$7M,Cote d'Ivoire,Unallocated
750,Unknown,2011,CIDCA,$3M,Guinea,Unallocated
751,46.9m Patrol Boats - 5 Units; 33.88m Shrimp Boats - 10 Units; Canoes - 2000 Units,2006,CHEXIM,$88M,Angola,Agriculture
752,Kehaila East Agricultural Scheme - Merowe Resettlement,2008,China International Water & Electric Corporation (CWE),$81M,Sudan,Agriculture
753,5-Year Syndicated Term Loan to support foreign currency position - BoC,2002,BoC,$10M,South Africa,Budget
754,"Malange, 2 Secondary School Constructions",2005,CHEXIM,$7M,Angola,Education
755,Hotel Cabinda Reconstruction,2013,CHEXIM,$23M,Angola,Business
756,"Cazengo, Kwanza-Norte and Sumbe, Kwanza-Sul, Municipal Hospitals",2005,CHEXIM,$17M,Angola,Health
757,"Nzeto-Tomboco-Mbanza Congo Road Rehabilitation, 214km",2007,CHEXIM,$144M,Angola,Transportation
758,"SGR Phase I - Mombasa to Nairobi 472.3km (CommL portion, total 3.6bn)",2014,CHEXIM,$2.0B,Kenya,Transportation
759,"Addis-Djibouti Railway (Ethiopian share, total 2.49bn) 656km, Tranche B",2013,CHEXIM,$981M,Ethiopia,Transportation
760,Supply of Rolling Stocks and Depot Equipment for Abuja Light Rail Project,2018,CHEXIM,$157M,Nigeria,Transportation
761,TAZARA,2006,CIDCA,$13M,Zambia,Transportation
762,"National Route 2, Owando-Makoua-Ouesso Road, Phase I (Owando-Makoua-Mambili, 126km)",2009,CHEXIM,$303M,Republic of Congo,Transportation
763,"Kribi Port Project - Phase II (CL Part, total US$675million)",2017,CHEXIM,$150M,Cameroon,Transportation
764,"Beira to Machipanda EN6 Road Repair, 287km, Loan 2",2014,CHEXIM,$312M,Mozambique,Transportation
765,"PTC Roundabout Interchange Project, Takoradi",2018,Sinohydro Ltd.,$58M,Ghana,Transportation
766,"Boulevard du 30 Juin Refurbishment in Kinshasa, Part 2 (2.5km)",2009,CHEXIM,$19M,Democratic Republic of Congo,Transportation
767,Al Dibabat-Abou Zayd-El Fula Road (or Dubeibat-Abu Zabad-El Fula Road) 185 km,2009,CHEXIM,$90M,Sudan,Transportation
768,Lome International Airport Taxiway and Corridor Extension,2016,CIDCA,$62M,Togo,Transportation
769,"Capanda-Lucala-Ndalatando Transmission Line, 220kV",2005,CHEXIM,$25M,Angola,Power
770,Adama Wind Farm II 153MW,2013,CHEXIM,$293M,Ethiopia,Power
771,Merowe Hydropower Project transmission lines and substations,2003,CHEXIM,$381M,Sudan,Power
772,Musonda Falls upgrade bridge loan 1,2015,Sinohydro Ltd.,$10M,Zambia,Power
773,NES - Upper West Regional Electrification Project,2010,China International Water & Electric Corporation (CWE),$77M,Ghana,Power
774,Equipment for Artisanal Miners Disbursement 1,2017,Xuzhou Construction Machinery Group (XCMG),$5M,Zimbabwe,Power
775,Drilling Materials for Olkaria Geothermal Wells,2012,CHEXIM,$383M,Kenya,Power
776,"Photovoltaic System, Electrification of 350 Communities - Phase II (184 Communities)",2017,BoC,$123M,Cameroon,Power
777,High Voltage Electricity Network Extension and Maintenance,2019,CDB,$83M,Equatorial Guinea,Power
778,National Geology Plan Project,2017,CHEXIM,$65M,Angola,Mining
779,ICT Infrastructure Backbone I Project,2013,CHEXIM,$100M,Nigeria,ICT
780,Emergency Telecommunication Network,2013,CHEXIM,$156M,Cameroon,ICT
781,Public Security Network III,2016,CDB,$179M,Zambia,ICT
782,"418,750 New Telecommunication Lines",2007,CHEXIM,$59M,Angola,ICT
783,University of Ghana Legon ICT-Enabled Distance Learning System Phase II,2012,CHEXIM,$32M,Ghana,ICT
784,Konza Data Center and Smart City Facilities,2019,CHEXIM,$168M,Kenya,ICT
785,Modernization and Digitization of Finance Ministry Communications Systems,2020,CHEXIM,$150M,Democratic Republic of Congo,ICT
786,CCTV Surveillance System,2009,CIDCA,$10M,Mauritius,ICT
787,"Building of Residual Water Treatment Station (Quifangondo), Distribution Center in the Municipality of Cacuaco, and Implementing New Household Connections (Contract of Rehabilitation of Luanda's Water System)",2007,CHEXIM,$26M,Angola,Water
788,Gedarif Water Supply System Project,2005,CHEXIM,$67M,Sudan,Water
789,"Futungo de Belas Real Estate Development Project, Phase I - 8000 Units",2014,ICBC,$120M,Angola,Other social
790,Social Housing in Mt. Mambou,2014,CHEXIM,$70M,Republic of Congo,Other social
791,"Gaborone, Maun, Jwaneng, Lobatse and Francistown BHC Houses - 725 houses (EBC part)",2004,CHEXIM,$24M,Botswana,Other social
792,"Construction of Integrated Infrastructure, Lar do Patriota, Phase I",2014,CDB,$59M,Angola,Multisector
793,"Welkait Sugar Mill, Tigray Region",2014,CHEXIM,$500M,Ethiopia,Industry
794,Purchase of 6 Hongdu L-15 Trainer Jets,2015,China National Aero-Technology Import and Export Corporation (CATIC),$211M,Zambia,Defense
795,Execution and Completion of the Military Housing Units for the Ghana Armed Forces,2019,Poly Technologies Inc.,$100M,Ghana,Defense
796,Afreximbank: Pandemic Trade Impact Mitigation Facility (PATIMFA) Program-BoC,2020,BoC,$200M,Regional,Banking
797,"Afreximbank: Trade Finance, China Guaranteed Loan Tranche II",2016,CHEXIM,$50M,Regional,Unallocated
798,Unknown,2008,CIDCA,$9M,Gabon,Unallocated
799,Unknown,2009,CIDCA,$12M,Sudan,Unallocated
800,Economic and Technical Cooperation Agreement,2010,CIDCA,$8M,Cameroon,Unallocated
801,Economic and Technical Cooperation Agreement,2012,CIDCA,$19M,Rwanda,Unallocated
802,Economic and Trade cooperation,2010,CIDCA,$6M,Mauritius,Unallocated
803,Economic and Technical Assistance,2013,CIDCA,$8M,Democratic Republic of Congo,Unallocated
804,"Unknown, Economic Cooperation Agreement for Socioeconomic Infrastructure",2013,CIDCA,$16M,Cote d'Ivoire,Unallocated
805,"33.56m Fishing Boats - 10 Units; 49m Speed Boat - 1 Unit; 89.86m ""Navo-Porão"" - 1 Unit ; 29.7m Patrol Boats - 5 units ; and 34m Tugboat - 1 Unit",2006,CHEXIM,$64M,Angola,Agriculture
806,Agricultural improvement/electricification in Blue Nile,2010,CHEXIM,$30M,Sudan,Agriculture
807,3-Year Syndicated Term Loan to support foreign currency position - CCB,2003,CCB,$26M,South Africa,Budget
808,"Huíla, 1 Institute of Technology and 1 Secondary School Construction",2005,CHEXIM,$13M,Angola,Education
809,"Dondo and Ndalatando, Kwanza-Norte, 2 Health Care Centers",2005,CHEXIM,$7M,Angola,Health
810,"Cars Purchase - 1500 Units, Phase II",2007,CHEXIM,$57M,Angola,Transportation
811,"SGR Phase I - Mombasa to Nairobi, 472.3km (CL portion, total 3.6bn)",2014,CHEXIM,$1.6B,Kenya,Transportation
812,"Addis-Djibouti Railway (Ethiopian share, total 2.49bn) 656km, Tranche C",2013,CHEXIM,$1.3B,Ethiopia,Transportation
813,Lekki Deep Water Port,2019,CDB,$629M,Nigeria,Transportation
814,Procurement of Earth-moving Equipment for Road Rehabilitation,2007,CHEXIM,$40M,Zambia,Transportation
815,"National Route 2, Owando-Makoua-Ouesso Road, Phase II (Mambili-Ouésso, 199km)",2012,CHEXIM,$234M,Republic of Congo,Transportation
816,Adenta-Dodowa Dual Carriageway 14 km,2018,Sinohydro Ltd.,$71M,Ghana,Transportation
817,"Kinshasa, Triomphal and Sendwe Boulevards Refurbishment - Original (3.67km)",2009,CHEXIM,$29M,Democratic Republic of Congo,Transportation
818,El Nahood-Aum Kadada Road (or En Nahud-Um Kadada Road) 211 km,2009,CHEXIM,$110M,Sudan,Transportation
819,Niamtougou Airport Re-development,2016,CHEXIM,$44M,Togo,Transportation
820,"Cambambe-Luanda Transmission Line, 220kV",2005,CHEXIM,$35M,Angola,Power
821,"1400 km, Renaissance Dam to Addis Ababa Power Transmission Line and Distribution, 500kV",2013,State Grid Corporation of China (SGCC),$1.0B,Ethiopia,Power
822,El Jaili (Garri) Power Plant Phase II,2004,"Harbin Electric Company, Ltd.",$82M,Sudan,Power
823,Mpika Power Supply,2016,ICBC,$30M,Zambia,Power
824,"Western Corridor Gas Infrastructure Project, Jubilee Oil Field",2012,CDB,$850M,Ghana,Power
825,Equipment for Artisanal Miners Disbursement 2,2018,Xuzhou Construction Machinery Group (XCMG),$5M,Zimbabwe,Power
826,Nairobi 132 KV & 66KV Network Upgrade and Reinforcement Project Phase II,2014,CHEXIM,$106M,Kenya,Power
827,"Ebolowa-Kribi, 225 KV and Mbalmayo-Mekin, 90 KV Transmission Lines",2019,BoC,$56M,Cameroon,Power
828,National ICT Infrastructure Backbone Phase II Project,2018,CHEXIM,$334M,Nigeria,ICT
829,National Fiber-Optic Backbone Expansion,2015,CHEXIM,$79M,Cameroon,ICT
830,Communication Towers Project Phase II (Smart Zambia/Zambia ICT Project Phase II),2017,CHEXIM,$281M,Zambia,ICT
831,Angola E-Government Project for 4 Major Province's Capitals - Project 3,2009,CHEXIM,$337M,Angola,ICT
832,Integrated National Security Communications Enhancement Network (ALPHA) Project - Phase I,2013,CDB,$150M,Ghana,ICT
833,Safe City Project,2018,CHEXIM,$75M,Mauritius,ICT
834,"Expansion of the water supply network in the cities of Caxito and Catete, Building of Fountains and 100 New Household Connections and Assistance with System Management for One Year, and Rehabilitation of the Water Treatment System in Uíge, Expansion of the Water Supply Network and System Management Support for One Year",2007,CHEXIM,$6M,Angola,Water
835,Dongla Water Supply Project,2006,CHEXIM,$34M,Sudan,Water
836,Housing Contracts in Cunene-450 Units and in Uíge-500 Units,2015,CDB,$52M,Angola,Other social
837,Social Housing in Mt. Barnier,2014,CHEXIM,$6M,Republic of Congo,Other social
838,Gaborone 293 Houses in District 7,2006,CHEXIM,$8M,Botswana,Other social
839,"Construction of Integrated Infrastructure, Cabinda, Phase 1 Stage 2",2014,CDB,$22M,Angola,Multisector
840,"Omo-Kuraz Sugar Factory - 5, South Omo Zone",2015,ICBC,$550M,Ethiopia,Industry
841,Police and Security Force Housing - 2350 Units,2016,ICBC,$275M,Zambia,Defense
842,"Afreximbank: Loans to African Banks for Trade Finance, Syndicated Loans, Etc.",2018,BoC,$350M,Regional,Unallocated
843,Unknown,2009,CIDCA,$7M,Gabon,Unallocated
844,Economic and Technical Cooperation Projects / Renovation of Friendship Hall in Khartom,2012,CIDCA,$29M,Sudan,Unallocated
845,Economic and Technical Cooperation Agreement,2011,CIDCA,$16M,Cameroon,Unallocated
846,Economic and Technical Cooperation Agreement,2014,CIDCA,$8M,Rwanda,Unallocated
847,Economic and Trade cooperation,2011,CIDCA,$3M,Mauritius,Unallocated
848,Economic and Technical Cooperation Agreement,2014,CIDCA,$16M,Democratic Republic of Congo,Unallocated
849,"Irrigation Projects (Caxito, Gandgelas, Luena, and Waco-Kungo), Phase II",2007,CHEXIM,$49M,Angola,Agriculture
850,Integrated slaughterhouse,2017,CIDCA,$15M,Sudan,Agriculture
851,3-Year Syndicated Term Loan to support foreign currency position - BoC,2003,BoC,$26M,South Africa,Budget
852,"Kwanza-Sul and Kwanza-Norte, 2 Agrarian Technical Schools",2005,CHEXIM,$41M,Angola,Education
853,"Namibe, Municipal Hospital of Namibe",2005,CHEXIM,$8M,Angola,Health
854,Railroad Equipment Purchase,2007,CHEXIM,$62M,Angola,Transportation
855,"SGR Phase II Nairobi to Malaba - Sub-phase 1, Nairobi to Naivasha Section, 120.4km",2015,CHEXIM,$1.5B,Kenya,Transportation
856,"Addis-Adama Expressway Phase II (Toll Montovay), 28km",2013,CHEXIM,$143M,Ethiopia,Transportation
857,Four Airport Terminals Expansion Incremental Project,2019,CHEXIM,$209M,Nigeria,Transportation
858,TAZARA Protocol - 2009 Recapitalization,2009,CIDCA,$19M,Zambia,Transportation
859,"Gabon Border Road, Okoyo-Lékéty-Frontier Road, 90km, Phase II",2012,CHEXIM,$74M,Republic of Congo,Transportation
860,Sunyani Inner City Roads 39 km,2018,Sinohydro Ltd.,$49M,Ghana,Transportation
861,"Boulevard du 30 Juin Refurbishment in Kinshasa, Part 1 (5.3km)",2009,CHEXIM,$26M,Democratic Republic of Congo,Transportation
862,Zalingei-El Geneinah Road (or Zalingei-Al Junaynah Road) 175 km,2009,CHEXIM,$120M,Sudan,Transportation
863,"Luanda-Sul Substation, 220kV",2005,CHEXIM,$27M,Angola,Power
864,"Ethiopia-Djibouti Railway Transmission Line Power Supply, 750km",2015,CHEXIM,$31M,Ethiopia,Power
865,El Jaili (Garri) Power Plant Phase IV 100MW,2004,China Machinery Engineering Corporation (CMEC),$129M,Sudan,Power
866,"Musonda Falls Upgrade Bridge, Loan 2",2016,Sinohydro Ltd.,$29M,Zambia,Power
